customer_id,name,email,phone,gender,age,city,registration_date,account_age_days,total_orders,total_spend,avg_order_value,purchase_frequency,last_purchase_days,last_purchase_date,app_sessions_monthly,email_open_rate,wishlist_items,cart_abandonment_rate,reviews_written,avg_rating_given,referrals_made,support_tickets,returns_count,returns_rate,preferred_category,preferred_payment,engagement_score,sentiment_score,brand_interaction,nps_score,reward_preference,behavior_type
SK000024,Anika Tiwari,anika.tiwari33@yahoo.com,+91-9071371183,F,40,Mumbai,2025-02-20,409,7,18011,2573,2,54,2026-02-10,1,0.15,2,0.46,0,,0,1,1,0.23,Accessories,COD,35,38,8,6,Gift Card,at_risk
SK000025,Jyoti Bhatia,jyoti.bhatia20@gmail.com,+91-8047011536,F,21,Indore,2025-03-20,381,33,110946,3362,15,11,2026-03-25,27,0.67,11,0.67,11,4.3,5,1,2,0.07,Footwear,Credit Card,91,89,100,10,Free Shipping,loyal
SK000026,Pooja Tiwari,pooja.tiwari99@hotmail.com,+91-7980193818,F,18,Indore,2026-01-17,78,7,23275,3325,4,16,2026-03-20,8,0.3,2,0.65,2,3.9,1,2,0,0.08,Footwear,Wallet,69,59,42,6,Early Access,regular
SK000027,Saanvi Joshi,saanvi.joshi77@outlook.com,+91-9062959415,F,18,Gurgaon,2025-07-28,251,4,10572,2643,3,45,2026-02-19,3,0.28,2,0.66,1,4.9,0,0,0,0.09,Accessories,COD,44,74,17,5,Gift Card,occasional
SK000028,Nikhil Pandey,nikhil.pandey48@yahoo.com,+91-9103322842,M,23,Vadodara,2025-10-06,181,15,27315,1821,4,34,2026-03-02,8,0.29,7,0.53,1,4.5,2,3,1,0.07,Ethnic Wear,Credit Card,57,37,62,8,Cashback,regular
SK000029,Saanvi Bhatia,saanvi.bhatia23@hotmail.com,+91-9452056778,F,37,Gurgaon,2026-01-05,90,14,50862,3633,10,2,2026-04-03,29,0.68,15,0.66,5,4.8,1,2,0,0.04,Ethnic Wear,Debit Card,83,72,100,10,Cashback,loyal
SK000030,Isha Menon,isha.menon86@gmail.com,+91-9288421169,F,40,Coimbatore,2024-08-11,602,2,4458,2229,4,31,2026-03-05,8,0.18,0,0.6,1,4.9,0,1,0,0.13,Sportswear,UPI,42,47,21,5,Free Shipping,occasional
SK000031,Aarush Kapoor,aarush.kapoor87@yahoo.com,+91-9510830349,M,29,Ahmedabad,2024-06-12,662,6,11592,1932,4,32,2026-03-04,5,0.16,4,0.61,0,,0,2,0,0.12,Sportswear,Wallet,48,43,22,6,Free Shipping,occasional
SK000032,Pranav Desai,pranav.desai93@outlook.com,+91-7652311191,M,25,Kolkata,2025-01-26,434,29,133864,4616,15,2,2026-04-03,26,0.48,17,0.58,10,3.9,2,0,0,0.03,Footwear,Credit Card,92,88,100,8,Early Access,loyal
SK000033,Rashmi Pandey,rashmi.pandey90@hotmail.com,+91-7708064869,F,18,Hyderabad,2025-02-02,427,10,32860,3286,1,66,2026-01-29,3,0.07,2,0.39,2,4.2,0,3,2,0.21,Sportswear,COD,35,35,22,3,Cashback,at_risk
SK000034,Ahana Patel,ahana.patel71@hotmail.com,+91-9928135160,F,42,Delhi,2025-10-27,160,20,84460,4223,9,6,2026-03-30,28,0.43,14,0.68,5,4.2,2,0,0,0.04,Western Wear,Credit Card,75,85,100,10,Cashback,loyal
SK000035,Tanish Menon,tanish.menon13@yahoo.com,+91-9471099800,M,43,Pune,2025-05-17,323,13,39858,3066,7,13,2026-03-23,12,0.39,7,0.27,5,4.5,1,1,1,0.1,Western Wear,Debit Card,65,72,80,7,Free Shipping,regular
SK000036,Rahul Nair,rahul.nair44@gmail.com,+91-7611076967,M,23,Hyderabad,2024-07-15,629,7,20944,2992,3,30,2026-03-06,7,0.18,5,0.48,2,3.8,0,2,0,0.12,Footwear,COD,51,46,39,6,Discount,occasional
SK000037,Kritika Tiwari,kritika.tiwari4@gmail.com,+91-7976579303,F,21,Kochi,2024-05-09,696,7,8435,1205,3,45,2026-02-19,3,0.15,2,0.33,0,,0,5,1,0.17,Western Wear,COD,33,10,12,6,Free Shipping,at_risk
SK000038,Pooja Verma,pooja.verma6@gmail.com,+91-7855796790,F,31,Indore,2025-02-01,428,2,3810,1905,3,54,2026-02-10,6,0.17,1,0.68,1,4.9,0,2,0,0.1,Accessories,UPI,47,56,20,5,Gift Card,occasional
SK000039,Kabir Pillai,kabir.pillai90@yahoo.com,+91-8937913474,M,46,Kochi,2024-04-18,717,6,15210,2535,4,45,2026-02-19,6,0.19,0,0.31,0,,0,1,0,0.11,Ethnic Wear,Debit Card,37,42,12,8,Cashback,occasional
SK000040,Pranav Menon,pranav.menon57@yahoo.com,+91-8278773367,M,35,Coimbatore,2024-12-10,481,11,43351,3941,7,33,2026-03-03,11,0.32,2,0.36,3,3.9,0,3,1,0.11,Footwear,Wallet,71,53,43,9,Exclusive Collections,regular
SK000041,Kavita Khanna,kavita.khanna64@outlook.com,+91-7595416022,F,28,Lucknow,2024-09-22,560,8,14272,1784,7,20,2026-03-16,15,0.35,5,0.26,3,3.9,0,3,0,0.05,Footwear,COD,73,40,60,8,Free Shipping,regular
SK000042,Rudra Joshi,rudra.joshi43@yahoo.com,+91-7609562152,M,31,Chennai,2025-09-23,194,38,283936,7472,8,2,2026-04-03,25,0.69,5,0.67,13,4.4,4,0,2,0.07,Ethnic Wear,Wallet,78,94,100,9,Exclusive Collections,loyal
SK000043,Kabir Verma,kabir.verma16@gmail.com,+91-9945394074,M,18,Bhopal,2025-05-14,326,14,47558,3397,8,3,2026-04-02,18,0.42,15,0.68,4,4.6,1,1,0,0.04,Accessories,Debit Card,83,78,100,9,Free Shipping,loyal
SK000044,Navya Kapoor,navya.kapoor5@yahoo.com,+91-8943420939,F,42,Bhopal,2024-10-23,529,6,17394,2899,7,12,2026-03-24,8,0.26,2,0.51,1,4.9,1,3,0,0.07,Sportswear,COD,63,48,37,6,Cashback,regular
SK000045,Navya Reddy,navya.reddy17@outlook.com,+91-9365317655,F,26,Mumbai,2024-05-03,702,4,11424,2856,1,64,2026-01-31,4,0.06,3,0.55,2,4.8,0,1,0,0.2,Accessories,Credit Card,38,42,27,6,Free Shipping,at_risk
SK000046,Aaradhya Singh,aaradhya.singh24@yahoo.com,+91-8856084146,F,18,Jaipur,2024-12-10,481,5,14320,2864,2,31,2026-03-05,7,0.28,5,0.45,0,,0,0,0,0.11,Accessories,UPI,54,65,29,8,Gift Card,occasional
SK000047,Rajesh Joshi,rajesh.joshi79@outlook.com,+91-9820071160,M,29,Coimbatore,2026-03-06,30,14,45374,3241,5,18,2026-03-18,11,0.31,10,0.67,1,4.1,0,3,0,0.07,Accessories,Wallet,73,43,57,7,Exclusive Collections,regular
SK000048,Dhruv Sharma,dhruv.sharma2@outlook.com,+91-8488659676,M,27,Hyderabad,2026-01-28,67,13,95706,7362,13,15,2026-03-21,25,0.69,17,0.62,5,4.4,4,2,0,0.05,Sportswear,UPI,85,66,100,10,Exclusive Collections,loyal
SK000049,Sara Pillai,sara.pillai93@hotmail.com,+91-7368143170,F,37,Lucknow,2025-05-30,310,8,11040,1380,3,76,2026-01-19,3,0.07,0,0.44,2,4.7,0,3,1,0.17,Sportswear,Debit Card,20,44,16,6,Gift Card,at_risk
SK000050,Ritvik Rao,ritvik.rao50@gmail.com,+91-7051456845,M,43,Kolkata,2024-04-13,722,5,9830,1966,1,76,2026-01-19,3,0.09,1,0.3,1,3.8,0,1,0,0.17,Western Wear,Wallet,21,57,14,4,Cashback,at_risk
SK000051,Sai Pillai,sai.pillai60@hotmail.com,+91-7946853880,M,45,Hyderabad,2025-09-13,204,5,14010,2802,2,47,2026-02-17,4,0.25,3,0.66,0,,0,1,0,0.13,Footwear,Wallet,41,50,17,8,Discount,occasional
SK000052,Vihaan Goel,vihaan.goel24@yahoo.com,+91-8225265340,M,33,Kolkata,2025-08-09,239,5,6710,1342,3,51,2026-02-13,3,0.06,2,0.37,0,,0,5,1,0.23,Accessories,UPI,30,10,12,3,Cashback,at_risk
SK000053,Tanvi Shah,tanvi.shah62@hotmail.com,+91-7781520737,F,29,Coimbatore,2024-09-07,575,7,24360,3480,7,20,2026-03-16,10,0.44,7,0.46,5,5.0,0,3,0,0.06,Ethnic Wear,UPI,70,55,66,8,Cashback,regular
SK000054,Komal Pillai,komal.pillai66@hotmail.com,+91-9367131826,F,28,Mumbai,2024-05-31,674,8,29008,3626,5,22,2026-03-14,12,0.33,9,0.38,2,3.7,0,3,0,0.08,Accessories,UPI,69,50,61,6,Exclusive Collections,regular
SK000055,Neha Jain,neha.jain26@gmail.com,+91-8857347386,F,18,Coimbatore,2026-02-13,51,2,5562,2781,4,55,2026-02-09,7,0.24,5,0.25,0,,0,0,0,0.08,Western Wear,COD,44,56,29,5,Cashback,occasional
SK000056,Nikhil Malhotra,nikhil.malhotra97@outlook.com,+91-9409890034,M,35,Pune,2025-07-17,262,7,24885,3555,7,35,2026-03-01,9,0.26,3,0.24,1,5.0,1,2,0,0.07,Footwear,Wallet,72,42,42,9,Exclusive Collections,regular
SK000057,Ahana Mehta,ahana.mehta8@yahoo.com,+91-8462443893,F,36,Hyderabad,2024-05-01,704,15,102300,6820,14,10,2026-03-26,15,0.61,17,0.52,5,4.6,3,0,1,0.07,Ethnic Wear,Credit Card,78,83,100,9,Early Access,loyal
SK000058,Ritvik Malhotra,ritvik.malhotra25@gmail.com,+91-7183813151,M,30,Kochi,2025-05-08,332,7,20839,2977,6,30,2026-03-06,9,0.27,8,0.24,5,4.3,2,0,0,0.07,Footwear,UPI,59,71,87,9,Cashback,regular
SK000059,Laksh Agarwal,laksh.agarwal6@yahoo.com,+91-8290074427,M,22,Delhi,2024-11-26,495,12,45624,3802,6,35,2026-03-01,15,0.27,10,0.5,2,4.3,2,2,1,0.11,Accessories,Credit Card,68,51,90,9,Free Shipping,regular
SK000060,Ananya Khanna,ananya.khanna59@yahoo.com,+91-9847831804,F,46,Surat,2024-07-26,618,4,6204,1551,0,166,2025-10-21,1,0.02,1,0.22,0,,0,1,0,0.1,Sportswear,Credit Card,10,42,5,1,Cashback,dormant
SK000061,Darsh Patel,darsh.patel49@hotmail.com,+91-8454660734,M,31,Lucknow,2024-09-26,556,4,9200,2300,0,152,2025-11-04,1,0.01,0,0.52,1,3.7,0,3,0,0.12,Western Wear,Wallet,5,32,7,1,Free Shipping,dormant
SK000062,Deepak Reddy,deepak.reddy69@hotmail.com,+91-8887386400,M,18,Coimbatore,2025-12-16,110,13,49465,3805,4,13,2026-03-23,12,0.43,6,0.59,3,4.7,0,1,1,0.1,Accessories,COD,69,65,57,7,Cashback,regular
SK000063,Sai Joshi,sai.joshi18@yahoo.com,+91-7170136363,M,33,Nagpur,2024-10-25,527,12,41364,3447,5,20,2026-03-16,15,0.35,5,0.6,3,4.0,0,3,1,0.1,Sportswear,Wallet,60,42,60,9,Cashback,regular
SK000064,Veer Nair,veer.nair57@yahoo.com,+91-9024253612,M,27,Mumbai,2024-10-20,532,11,21901,1991,5,17,2026-03-19,11,0.37,5,0.32,3,3.9,1,1,0,0.08,Sportswear,Wallet,63,55,62,6,Cashback,regular
SK000065,Aaradhya Reddy,aaradhya.reddy30@outlook.com,+91-8017597826,F,36,Delhi,2025-12-02,124,18,134298,7461,15,9,2026-03-27,30,0.55,6,0.43,6,4.8,1,0,0,0.05,Footwear,UPI,89,90,100,8,Exclusive Collections,loyal
SK000066,Dhruv Kulkarni,dhruv.kulkarni87@outlook.com,+91-7636748333,M,29,Bangalore,2025-09-22,195,13,46787,3599,5,33,2026-03-03,10,0.29,7,0.25,5,3.5,2,1,1,0.1,Western Wear,COD,69,72,86,6,Cashback,regular
SK000067,Preeti Verma,preeti.verma62@yahoo.com,+91-7059850015,F,35,Chandigarh,2025-10-06,181,22,81994,3727,12,13,2026-03-23,25,0.63,18,0.66,7,4.2,3,0,1,0.05,Sportswear,Credit Card,76,77,100,9,Cashback,loyal
SK000068,Aditya Bhatia,aditya.bhatia82@hotmail.com,+91-9357460862,M,31,Ahmedabad,2024-04-16,719,12,36324,3027,5,31,2026-03-05,14,0.28,8,0.26,3,3.7,1,3,1,0.08,Sportswear,UPI,65,38,77,7,Exclusive Collections,regular
SK000069,Myra Kumar,myra.kumar24@outlook.com,+91-7313532036,F,24,Chandigarh,2024-07-01,643,6,9282,1547,4,37,2026-02-27,3,0.16,3,0.67,1,4.2,0,0,0,0.14,Ethnic Wear,Credit Card,49,54,20,6,Free Shipping,occasional
SK000070,Anvi Kumar,anvi.kumar64@outlook.com,+91-9372654907,F,39,Lucknow,2024-10-21,531,8,15768,1971,4,33,2026-03-03,7,0.19,1,0.62,1,3.7,0,0,0,0.11,Western Wear,Wallet,45,71,22,5,Cashback,occasional
SK000071,Iraa Kumar,iraa.kumar28@gmail.com,+91-7298919074,F,46,Kochi,2025-02-14,415,8,27264,3408,7,12,2026-03-24,15,0.38,5,0.54,3,4.0,1,2,0,0.06,Sportswear,Debit Card,68,55,70,9,Early Access,regular
SK000072,Anjali Agarwal,anjali.agarwal99@yahoo.com,+91-9260769092,F,45,Gurgaon,2024-12-24,467,11,35057,3187,5,21,2026-03-15,8,0.26,10,0.68,4,4.8,1,2,1,0.1,Accessories,Credit Card,62,59,76,7,Free Shipping,regular
SK000073,Prisha Mehta,prisha.mehta35@outlook.com,+91-9179163827,F,27,Chandigarh,2024-08-07,606,29,225765,7785,15,3,2026-04-02,30,0.68,13,0.31,12,4.5,5,1,1,0.07,Western Wear,COD,77,89,100,10,Free Shipping,loyal
SK000074,Darsh Mehta,darsh.mehta33@yahoo.com,+91-8127870164,M,41,Pune,2024-11-20,501,24,98736,4114,8,14,2026-03-22,22,0.4,18,0.52,14,4.0,2,0,0,0.04,Sportswear,COD,80,95,100,10,Exclusive Collections,loyal
SK000075,Sai Kulkarni,sai.kulkarni85@gmail.com,+91-9994412438,M,49,Lucknow,2024-11-21,500,22,106700,4850,15,9,2026-03-27,25,0.45,14,0.56,5,3.8,4,2,1,0.07,Ethnic Wear,Debit Card,91,65,100,9,Early Access,loyal
SK000076,Darsh Reddy,darsh.reddy19@hotmail.com,+91-9599328934,M,40,Kolkata,2024-12-24,467,32,216000,6750,10,5,2026-03-31,30,0.61,14,0.42,4,4.1,5,2,1,0.06,Accessories,Debit Card,93,62,100,8,Cashback,loyal
SK000077,Vivaan Joshi,vivaan.joshi3@gmail.com,+91-9040837800,M,38,Chennai,2024-10-22,530,13,46982,3614,6,23,2026-03-13,9,0.41,2,0.2,5,3.8,0,1,1,0.12,Western Wear,UPI,71,67,49,7,Exclusive Collections,regular
SK000078,Ahana Sharma,ahana.sharma71@hotmail.com,+91-7581772471,F,19,Indore,2025-04-14,356,33,119163,3611,10,14,2026-03-22,25,0.45,20,0.62,7,5.0,5,0,2,0.08,Ethnic Wear,Wallet,84,73,100,10,Free Shipping,loyal
SK000079,Darsh Iyer,darsh.iyer62@yahoo.com,+91-8556326319,M,38,Mumbai,2025-08-18,230,2,4686,2343,2,55,2026-02-09,6,0.16,3,0.26,1,4.8,0,2,0,0.1,Accessories,Wallet,42,39,26,6,Free Shipping,occasional
SK000080,Iraa Shah,iraa.shah25@yahoo.com,+91-7109614203,F,30,Bhopal,2026-02-21,43,22,56738,2579,8,13,2026-03-23,18,0.68,11,0.35,6,3.8,1,2,1,0.07,Footwear,UPI,88,71,100,9,Early Access,loyal
SK000081,Neha Rao,neha.rao17@outlook.com,+91-9171884721,F,28,Vadodara,2024-05-23,682,14,35168,2512,6,22,2026-03-14,8,0.29,6,0.64,5,4.6,1,0,0,0.07,Ethnic Wear,Debit Card,63,73,69,7,Cashback,regular
SK000082,Prisha Nair,prisha.nair14@hotmail.com,+91-9503432221,F,37,Delhi,2025-02-17,412,3,4242,1414,4,44,2026-02-20,7,0.2,1,0.41,2,4.2,0,2,0,0.09,Footwear,UPI,46,43,27,6,Gift Card,occasional
SK000083,Arnav Kulkarni,arnav.kulkarni26@gmail.com,+91-8558880144,M,45,Nagpur,2024-07-14,630,5,9925,1985,2,31,2026-03-05,7,0.22,1,0.3,1,4.9,0,0,0,0.12,Western Wear,UPI,35,59,22,5,Cashback,occasional
SK000084,Diya Goel,diya.goel37@outlook.com,+91-9506447334,F,57,Nagpur,2024-08-02,611,8,24472,3059,5,32,2026-03-04,9,0.34,10,0.33,1,3.8,1,2,0,0.1,Sportswear,Debit Card,74,53,63,7,Exclusive Collections,regular
SK000085,Saanvi Mehta,saanvi.mehta37@hotmail.com,+91-8745423190,F,18,Pune,2025-08-07,241,14,55006,3929,14,3,2026-04-02,21,0.48,12,0.47,3,4.6,3,1,1,0.07,Accessories,Credit Card,92,67,100,9,Exclusive Collections,loyal
SK000086,Kritika Menon,kritika.menon53@gmail.com,+91-8032697129,F,43,Gurgaon,2026-01-20,75,8,27160,3395,7,34,2026-03-02,8,0.33,9,0.51,1,4.0,2,1,0,0.1,Ethnic Wear,COD,61,51,68,9,Exclusive Collections,regular
SK000087,Laksh Pillai,laksh.pillai75@outlook.com,+91-8709213220,M,38,Chandigarh,2024-08-18,595,5,5765,1153,3,35,2026-03-01,7,0.29,3,0.33,0,,0,0,0,0.13,Footwear,COD,44,61,23,5,Discount,occasional
SK000088,Riya Mittal,riya.mittal39@yahoo.com,+91-7517532318,F,44,Ahmedabad,2025-07-12,267,23,82639,3593,8,3,2026-04-02,20,0.54,12,0.64,15,4.8,5,0,1,0.05,Footwear,UPI,78,95,100,8,Cashback,loyal
SK000089,Riya Bhatia,riya.bhatia64@outlook.com,+91-8139583684,F,34,Surat,2025-07-18,261,36,238356,6621,9,5,2026-03-31,30,0.42,6,0.23,7,4.4,2,1,2,0.08,Western Wear,UPI,94,81,100,10,Exclusive Collections,loyal
SK000090,Shaurya Malhotra,shaurya.malhotra33@hotmail.com,+91-8648948523,M,40,Ahmedabad,2025-02-05,424,20,67040,3352,14,8,2026-03-28,25,0.58,8,0.37,6,3.9,5,0,1,0.06,Footwear,COD,95,89,100,9,Free Shipping,loyal
SK000091,Rohan Reddy,rohan.reddy61@outlook.com,+91-7323298302,M,33,Mumbai,2024-04-29,706,26,116168,4468,15,7,2026-03-29,23,0.57,11,0.5,4,4.7,4,0,1,0.04,Accessories,Debit Card,87,69,100,8,Free Shipping,loyal
SK000092,Shruti Mehta,shruti.mehta97@outlook.com,+91-7727219181,F,19,Noida,2025-01-16,444,6,10968,1828,3,33,2026-03-03,4,0.18,2,0.69,0,,0,0,0,0.11,Western Wear,COD,43,56,14,6,Gift Card,occasional
SK000093,Aadhya Tiwari,aadhya.tiwari44@yahoo.com,+91-7083263676,F,39,Chandigarh,2024-12-07,484,5,11160,2232,3,34,2026-03-02,7,0.2,0,0.41,2,4.8,0,1,0,0.11,Ethnic Wear,UPI,42,53,24,8,Discount,occasional
SK000094,Krishna Nair,krishna.nair58@gmail.com,+91-9117736859,M,22,Coimbatore,2025-12-19,107,13,36582,2814,5,20,2026-03-16,10,0.32,6,0.29,5,4.5,2,1,1,0.09,Footwear,UPI,61,63,83,7,Cashback,regular
SK000095,Pallavi Bhatia,pallavi.bhatia53@hotmail.com,+91-9271162502,F,39,Jaipur,2024-09-22,560,7,25109,3587,5,19,2026-03-17,10,0.43,7,0.42,3,3.9,2,1,0,0.05,Western Wear,UPI,74,70,76,7,Free Shipping,regular
SK000096,Aryan Mehta,aryan.mehta53@hotmail.com,+91-8989432894,M,44,Kolkata,2025-08-19,229,5,14705,2941,4,56,2026-02-08,6,0.21,2,0.52,2,4.0,0,1,0,0.14,Footwear,COD,44,44,28,6,Gift Card,occasional
SK000097,Vivaan Bhatia,vivaan.bhatia53@gmail.com,+91-8681130614,M,23,Surat,2024-08-09,604,8,23888,2986,4,49,2026-02-15,6,0.23,0,0.43,0,,0,1,1,0.13,Footwear,Credit Card,41,43,12,5,Cashback,occasional
SK000098,Yash Patel,yash.patel99@gmail.com,+91-9679172941,M,33,Mumbai,2025-05-12,328,15,36810,2454,5,17,2026-03-19,8,0.25,9,0.39,1,4.6,2,2,0,0.06,Accessories,UPI,57,44,68,9,Cashback,regular
SK000099,Ananya Desai,ananya.desai17@gmail.com,+91-9139821334,F,40,Vadodara,2024-10-08,544,14,53032,3788,7,28,2026-03-08,14,0.28,2,0.65,2,4.6,0,2,0,0.06,Footwear,Wallet,72,61,44,7,Exclusive Collections,regular
SK000100,Komal Kumar,komal.kumar33@hotmail.com,+91-7648466261,F,29,Chandigarh,2024-05-23,682,6,8934,1489,2,53,2026-02-11,3,0.16,4,0.68,2,3.9,0,0,0,0.09,Accessories,Wallet,43,73,28,7,Free Shipping,occasional
SK000101,Deepak Kumar,deepak.kumar4@yahoo.com,+91-8831357153,M,59,Chandigarh,2024-11-11,510,8,20632,2579,4,49,2026-02-15,4,0.17,5,0.61,2,4.7,0,0,1,0.13,Ethnic Wear,Debit Card,50,57,33,8,Gift Card,occasional
SK000102,Riya Chopra,riya.chopra71@yahoo.com,+91-9775151161,F,32,Coimbatore,2024-07-24,620,12,27840,2320,7,10,2026-03-26,8,0.31,9,0.2,1,4.0,0,0,0,0.08,Footwear,COD,58,69,48,8,Free Shipping,regular
SK000103,Dhruv Tiwari,dhruv.tiwari31@hotmail.com,+91-8315387063,M,22,Hyderabad,2026-02-01,63,26,151450,5825,10,12,2026-03-24,17,0.43,19,0.53,5,3.9,3,0,1,0.05,Accessories,Wallet,94,85,100,8,Early Access,loyal
